id;code;name;description
1;Botswana Borders Centre;c;Burundi Tools
2;Soft;d'Azur monitoring;Frozen Cotton Rubber
3;enhance;bluetooth Administrateur;Avon Robust c
4;navigating;bandwidth neural-net JSON;engineer connect
5;Dirham Implemented;a Toys Dollar;navigating
6;pixel Verde primary;bus;circuit Directeur Namibie
7;AGP parsing evolve;capacitor HDD;Nauru
8;Macédoine;c client-server de;Books a Rubber
9;infrastructures Cambridgeshire Producteur;Avon Money;platforms Cotton Convertible
10;Health Shilling;c;bypassing neural override
