id;file_ident;flow_use_case;description;creation_date;last_updated;build_state;build_count;build_comment
1;Centralized;P2C;24/365;2022-03-23;2022-03-23;DESTROYED;54529;Superviseur
2;Fresh Clothing Cheese;C2P;exuding Dollar overriding;2022-03-23;2022-03-23;NOTBUILD;9961;Administrateur Industrial
3;Ingenieur proactive asymmetric;A2A;Computers Kids;2022-03-23;2022-03-23;BUILDERROR;14582;payment synergies Advanced
4;Granite backing Baby;A2B;Keyboard Mouffetard;2022-03-23;2022-03-23;BUILDERROR;30932;Frozen invoice des
5;Bedfordshire extensible hack;P2U;hub payment;2022-03-23;2022-03-23;TODESTROY;83259;copy Account Virtual
6;overriding strategy virtual;P2C;Steel Rustic la;2022-03-23;2022-03-23;BUILDING;99379;Marcadet
7;Towels Refined quantify;U2A;Rubber Licensed Account;2022-03-23;2022-03-23;DESTROYED;21210;de d'Alésia backing
8;generating Automotive matrix;P2C;Cotton generate neutral;2022-03-23;2022-03-22;BUILDED;59638;reboot
9;HTTP Technicien grow;P2C;Loan input initiative;2022-03-23;2022-03-23;REQUIRED;26614;driver Rubber Berkshire
10;c connect;U2A;Sleek bus Concrete;2022-03-22;2022-03-22;DESTROYED;67934;a Île-de-France client-server
