id;file_ident;flow_use_case;description;creation_date;last_updated;build_state;build_count;build_comment;business_unit_id;origin_id;destination_id
1;invoice Agent;U2A;deposit;2022-03-23;2022-03-23;DESTROYED;47307;virtual Jewelery;1;1;1
2;Somalie end-to-end;A2A;mobile mint partnerships;2022-03-22;2022-03-22;BUILDERROR;38815;compelling Liban Saint-Denis;2;2;2
3;XML Unbranded;A2A;incentivize;2022-03-23;2022-03-23;BUILDERROR;36188;c Cheese Card;3;3;3
4;Plastic a invoice;U2A;Grocery a fuchsia;2022-03-22;2022-03-23;BUILDING;3443;orchestration Bedfordshire;4;4;4
5;directional Bike infrastructures;A2U;transmitting Soft;2022-03-23;2022-03-23;DESTROYED;31709;Rubber Zambie;5;5;5
6;La bi-directional TCP;P2U;Guinée-Bissau;2022-03-22;2022-03-23;TODESTROY;99190;mobile program;6;6;6
7;Account purple program;A2B;SMTP generate;2022-03-23;2022-03-23;DESTROYED;28712;invoice;7;7;7
8;a protocol b;U2A;navigating cross-platform;2022-03-22;2022-03-22;BUILDING;27909;Triple-buffered Tuna a;8;8;8
9;Executif Île-de-France navigate;A2B;expedite Bedfordshire;2022-03-23;2022-03-22;BUILDERROR;70657;e-markets;9;9;9
10;scalable;A2U;de Hat Dollar;2022-03-23;2022-03-23;BUILDERROR;10155;b a;10;10;10
