id;name;site_type;description;creation_date;last_updated;build_state;build_count;build_comment;business_unit_id
1;invoice;EXT;Bedfordshire deposit;2022-03-22;2022-03-22;REQUIRED;7072;mobile quantifying initiatives;1
2;Loan maroon;INT;Buckinghamshire Beauty;2022-03-22;2022-03-22;BUILDED;2749;compressing b gold;2
3;Sausages;NODE;PCI;2022-03-22;2022-03-22;REQUIRED;1213;Licensed artificial Tasty;3
4;Cotton;INT;Champagne-Ardenne Cotton;2022-03-22;2022-03-22;BUILDED;97352;Agent XML;4
5;software Taka;NODE;Loan silver;2022-03-23;2022-03-22;DESTROYED;99273;c defect;5
6;Som world-class;NODE;auxiliary;2022-03-23;2022-03-23;TODESTROY;31641;Towels deposit a;6
7;withdrawal;NODE;Cambridgeshire Mouse;2022-03-23;2022-03-22;REQUIRED;14988;COM PCI;7
8;Beauty models;NODE;pink disintermediate protocol;2022-03-22;2022-03-22;BUILDING;71812;European online b;8
9;Languedoc-Roussillon Loan hack;NODE;copy;2022-03-23;2022-03-22;TODESTROY;5069;bricks-and-clicks Fish panel;9
10;Tasty Producteur;USR;Sommerard;2022-03-23;2022-03-23;TODESTROY;13208;Awesome Soap Fantastic;10
