id;account_type;comment;creation_date;last_updated;user_id
1;GUI;a collaborative Dalasi;2022-03-23;2022-03-23;1
2;GUI;Directeur;2022-03-23;2022-03-22;2
3;TRF;Royale platforms Soft;2022-03-23;2022-03-23;2
4;GUI;IB;2022-03-23;2022-03-23;1
5;GUI;c a value-added;2022-03-23;2022-03-22;2
6;TRF;Intelligent Industrial Ruble;2022-03-23;2022-03-23;2
7;CONF;Lari;2022-03-23;2022-03-23;1
8;GUI;Bourgogne;2022-03-22;2022-03-23;1
9;GUI;Dauphine Concrete;2022-03-23;2022-03-22;2
10;TRF;e-enable Handcrafted a;2022-03-22;2022-03-23;2
