id;xprot_type;x_role;comment;access_address;access_service_point;creation_date;last_updated;build_state;build_count;build_comment
1;SFTP;SRV;Bretagne;Home Ergonomic TCP;52378;2022-03-23;2022-03-22;DESTROYED;37881;ivory
2;PESITANY;CLI;deposit Tuna;withdrawal;26811;2022-03-23;2022-03-23;REQUIRED;43312;GB
3;SFTP;CLI;orchid;strategic Wooden infomediaries;80966;2022-03-23;2022-03-23;BUILDERROR;88791;interactive
4;PESITANY;CLI;Handcrafted Beauty b;auxiliary SCSI architectures;54458;2022-03-23;2022-03-23;BUILDING;99853;Oberkampf navigate
5;PESITANY;CLI;calculate;Champagne-Ardenne intermediate;83796;2022-03-22;2022-03-23;DESTROYED;45351;a Alsace
6;SFTP;SRV;cross-platform a projection;invoice;71998;2022-03-23;2022-03-23;BUILDED;80948;Games non-volatile teal
7;PESITANY;SRV;Beauty Games Chips;Delesseux RAM;32637;2022-03-23;2022-03-23;REQUIRED;97692;Awesome
8;PESITANY;CLI;Salad;Midi-Pyrénées;18120;2022-03-22;2022-03-23;BUILDED;27012;orchid Krona IB
9;PESITSSL;CLI;Avon Electronics;Business-focused Montmorency;69530;2022-03-23;2022-03-23;BUILDING;10196;Lek Lorraine
10;PESITANY;CLI;Bedfordshire;Keyboard Escudo Zealand;58889;2022-03-23;2022-03-23;BUILDERROR;52746;b Fresh
